Trial,Label,Predicted,Label (Number),Predicted (Number),,,
1,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
2,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
3,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,Label,
4,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,0,"""Coin 10-10 cm"""
5,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,1,"""Coin 10-30 cm"""
6,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,2,"""Coin 30-10 cm"""
7,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,3,"""Coin 30-30 cm"""
8,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,4,"""Eraser 10-10 cm"""
9,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,5,"""Eraser 10-30 cm"""
10,"""Coin 10-10 cm""","""Coin 30-10 cm""",0,2,,6,"""Eraser 30-10 cm"""
11,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,7,"""Eraser 30-30 cm"""
12,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
13,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
14,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
15,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
16,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
17,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
18,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
19,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
20,"""Coin 10-10 cm""","""Coin 10-10 cm""",0,0,,,
21,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
22,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
23,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
24,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
25,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
26,"""Coin 10-30 cm""","""Coin 10-10 cm""",1,0,,,
27,"""Coin 10-30 cm""","""Coin 10-10 cm""",1,0,,,
28,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
29,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
30,"""Coin 10-30 cm""","""Coin 10-10 cm""",1,0,,,
31,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
32,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
33,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
34,"""Coin 10-30 cm""","""Coin 10-10 cm""",1,0,,,
35,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
36,"""Coin 10-30 cm""","""Coin 10-10 cm""",1,0,,,
37,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
38,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
39,"""Coin 10-30 cm""","""Coin 10-30 cm""",1,1,,,
40,"""Coin 10-30 cm""","""Coin 10-10 cm""",1,0,,,
41,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
42,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
43,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
44,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
45,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
46,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
47,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
48,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
49,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
50,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
51,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
52,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
53,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
54,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
55,"""Coin 30-10 cm""","""Coin 10-10 cm""",2,0,,,
56,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
57,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
58,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
59,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
60,"""Coin 30-10 cm""","""Coin 30-10 cm""",2,2,,,
61,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
62,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
63,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
64,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
65,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
66,"""Coin 30-30 cm""","""Coin 30-10 cm""",3,2,,,
67,"""Coin 30-30 cm""","""Coin 10-30 cm""",3,1,,,
68,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
69,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
70,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
71,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
72,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
73,"""Coin 30-30 cm""","""Coin 30-10 cm""",3,2,,,
74,"""Coin 30-30 cm""","""Coin 30-10 cm""",3,2,,,
75,"""Coin 30-30 cm""","""Coin 10-30 cm""",3,1,,,
76,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
77,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
78,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
79,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
80,"""Coin 30-30 cm""","""Coin 30-30 cm""",3,3,,,
81,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
82,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
83,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
84,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
85,"""Eraser 10-10 cm""","""Eraser 30-10 cm""",4,6,,,
86,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
87,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
88,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
89,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
90,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
91,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
92,"""Eraser 10-10 cm""","""Eraser 10-30cm""",4,5,,,
93,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
94,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
95,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
96,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
97,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
98,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
99,"""Eraser 10-10 cm""","""Eraser 30-10 cm""",4,6,,,
100,"""Eraser 10-10 cm""","""Eraser 10-10 cm""",4,4,,,
101,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
102,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
103,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
104,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
105,"""Eraser 10-30 cm""","""Eraser 30-30 cm""",5,7,,,
106,"""Eraser 10-30 cm""","""Eraser 30-30 cm""",5,7,,,
107,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
108,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
109,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
110,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
111,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
112,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
113,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
114,"""Eraser 10-30 cm""","""Eraser 30-30 cm""",5,7,,,
115,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
116,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
117,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
118,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
119,"""Eraser 10-30 cm""","""Eraser 30-30 cm""",5,7,,,
120,"""Eraser 10-30 cm""","""Eraser 10-30 cm""",5,5,,,
121,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
122,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
123,"""Eraser 30-10 cm""","""Eraser 30-30 cm""",6,7,,,
124,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
125,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
126,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
127,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
128,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
129,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
130,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
131,"""Eraser 30-10 cm""","""Eraser 10-10 cm""",6,4,,,
132,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
133,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
134,"""Eraser 30-10 cm""","""Eraser 10-10 cm""",6,4,,,
135,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
136,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
137,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
138,"""Eraser 30-10 cm""","""Eraser 10-10 cm""",6,4,,,
139,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
140,"""Eraser 30-10 cm""","""Eraser 30-10 cm""",6,6,,,
141,"""Eraser 30-30 cm""","""Eraser 30-30 cm""",7,7,,,
