label,dom_freq,sum_E,decay_rate,spec_ent
0,138250,198773282,-3373.9999999999995,4.065621718080495
0,143780,206834823,-3412.0,4.067513975960258
0,143780,228959412,-3215.9999999999995,4.103910285782484
0,138250,188946174,-3792.0,4.032293335204354
0,138250,213702353,-3946.0,4.061042720969624
0,127190,208553085,-3765.9999999999995,4.05144368681173
0,127190,201708311,-3594.0,4.053633836858906
0,127190,225320970,-3768.0,4.0641254638949205
0,143780,199932397,-3462.0,4.083519403678797
0,138250,177844651,-3749.9999999999995,3.989743610489267
0,138250,209984300,-3849.9999999999995,4.025245680400326
0,138250,206686872,-3950.0,4.00828566488426
0,138250,166443350,-3749.9999999999995,4.040081479693059
0,138250,208236839,-3778.0,4.039116404098889
0,138250,188758849,-3901.9999999999995,4.009845391381649
0,138250,191401155,-1689.9999999999998,4.062452378590441
0,138250,190228162,-3741.9999999999995,4.087319861651105
0,138250,185632785,-4009.9999999999995,4.008688225687007
0,259910,6705219,-673.0000000000001,3.2100942457926442
0,138250,200623837,-3762.0,4.029082041822766
1,143780,342915431,-445.99999999999983,4.200490168705198
1,132720,314667991,-3782.0,4.075586354830229
1,143780,373081251,-1038.6000000000001,4.194676391048887
1,143780,379391581,-956.8999999999996,4.227958992760795
1,143780,351571552,-1034.6000000000001,4.254565189710935
1,143780,333120624,-1549.9999999999998,4.2069826976427365
1,143780,306480919,-2546.0,4.128589936554826
1,138250,326543245,-2386.0,4.156400641055109
1,143780,297823941,-1874.9999999999998,4.1486413205197
1,44240,219627938,-3926.0,4.014132836662123
1,143780,343758324,-1066.8000000000004,4.215146129544339
1,143780,273270478,-1854.9999999999998,4.084349692403096
1,143780,351704375,-2007.0000000000005,4.178604375299128
1,143780,282502670,-3968.0,4.066908089381344
1,143780,365637072,-970.5000000000003,4.191318464779564
1,149310,313147946,-1565.5000000000002,4.138450894527219
1,88480,350512583,-1222.7,4.224413338347693
1,143780,257130923,-3744.0,4.082258226970052
1,138250,320314116,-4012.0,4.113002381142735
1,143780,263115962,-1598.0000000000002,4.073768910054422
2,77420,176156619,-1650.5000000000002,4.114475116453135
2,77420,119105525,-3153.0,4.293159219275555
2,121660,98978062,-3035.0,4.037730406639775
2,77420,166028272,-1516.0,4.126969508422672
2,94010,190969117,-3109.9999999999995,4.182075471427555
2,66360,111477574,-2722.9999999999995,3.9613925028619117
2,77420,139773436,-1521.5000000000002,4.151350668037377
2,121660,143823585,-3179.9999999999995,4.166762848862874
2,82950,194032997,-3289.9999999999995,4.27238998541112
2,66360,94967445,-2966.0,3.9006233969083506
2,77420,124305509,-1439.0000000000005,3.9139819661801725
2,94010,139623393,-3051.0,4.199202801626848
2,94010,101812289,-1439.5000000000002,3.71319952736752
2,110600,173211121,-2957.9999999999995,4.308875485230401
2,66360,122675786,-2491.0,4.208864001757956
2,66360,115618823,-2425.9999999999995,4.125428674454028
2,77420,156163563,-2968.0,4.192048728700956
