Gain,Ground Truth (bmp),System Output (bmp),"Correct (1=yes,0=no)"
10.0,6.0,4.0,0
10.0,6.0,4.0,0
10.0,6.0,4.0,0
10.0,6.0,4.0,0
10.0,6.0,6.0,0
10.0,6.0,4.0,0
10.0,6.0,4.0,0
10.0,6.0,4.0,0
10.0,6.0,4.0,0
10.0,6.0,6.0,0
21.0,6.0,4.0,0
21.0,6.0,6.0,0
21.0,6.0,6.0,0
21.0,6.0,6.0,1
21.0,6.0,4.0,0
21.0,6.0,4.0,0
21.0,6.0,6.0,0
21.0,6.0,6.0,0
21.0,6.0,6.0,1
21.0,6.0,4.0,0
33.5,6.0,4.0,0
33.5,6.0,6.0,1
33.5,6.0,4.0,0
33.5,6.0,6.0,1
33.5,6.0,4.0,0
33.5,6.0,4.0,0
33.5,6.0,4.0,0
33.5,6.0,4.0,0
33.5,6.0,6.0,1
33.5,6.0,4.0,0
45.0,6.0,6.0,1
45.0,6.0,4.0,0
45.0,6.0,6.0,1
45.0,6.0,6.0,1
45.0,6.0,4.0,0
45.0,6.0,6.0,1
45.0,6.0,4.0,0
45.0,6.0,6.0,1
45.0,6.0,6.0,1
45.0,6.0,4.0,0
62.1,6.0,6.0,1
62.1,6.0,6.0,1
62.1,6.0,6.0,1
62.1,6.0,4.0,0
62.1,6.0,6.0,1
62.1,6.0,4.0,0
62.1,6.0,6.0,1
62.1,6.0,6.0,1
62.1,6.0,4.0,0
62.1,6.0,6.0,1
83.3,6.0,6.0,1
83.3,6.0,6.0,1
83.3,6.0,6.0,1
83.3,6.0,4.0,0
83.3,6.0,6.0,1
83.3,6.0,6.0,1
83.3,6.0,4.0,0
83.3,6.0,6.0,1
83.3,6.0,6.0,1
83.3,6.0,6.0,1
100.0,6.0,6.0,1
100.0,6.0,6.0,1
100.0,6.0,6.0,1
100.0,6.0,6.0,1
100.0,6.0,6.0,1
100.0,6.0,6.0,1
100.0,6.0,4.0,0
100.0,6.0,6.0,1
100.0,6.0,6.0,1
100.0,6.0,6.0,1
